Ticker,Security,GICS_Sector,GICS_Sub_Industry,Address,Date_added,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964/3/31,1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012/12/31,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011/7/6,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",2015/8/31,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",2016/5/3,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",1997/5/5,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",2017/3/20,2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015/7/9,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998/10/2,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",1976/6/30,1122304
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014/7/1,1004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1999/5/28,4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2000/6/5,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985/4/30,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",2007/7/12,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016/5/13,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016/7/1,915913
ARE,Alexandria Real Estate Equities?Inc,Real Estate,Office REITs,"Pasadena, California",2017/3/20,1035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",2012/5/25,899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017/6/19,1097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013/12/2,1579241
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",1999/4/12,1578845
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",2013/12/23,1101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",2016/7/1,352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995/7/13,899051
